Team,Played,Wins,Draws,Loses,GF,GA,GD,Points
Liverpool,10,7,3,0,22,5,17,24
Manchester City,10,6,4,0,14,3,11,22
Chelsea,10,6,3,1,9,2,7,21
Manchester United,10,4,0,6,11,17,-6,12
Arsenal,10,0,2,8,4,19,-15,2
Tottenham,10,0,2,8,4,18,-14,2
